Period,Period Label,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
1996M05,"May  1996",IN0001.01,"All food",82.45,,,3.0239,,,1.5269,,
1996M05,"May  1996",IN0001.02,"Food",84.44,,,5.1688,,,1.2591,,
1996M05,"May  1996",IN0001.03,"Tropical beverages",78.36,,,-18.1448,,,3.0646,,
1996M05,"May  1996",IN0001.04,"Vegetable oilseeds and oils",81.32,,,15.0863,,,1.182,,
1996M05,"May  1996",IN0001.06,"Agricultural raw materials",91.16,,,-13.494,,,1.7751,,
1996M05,"May  1996",IN0001.07,"Minerals, ores and metals",44.17,,,1.3306,,,0.3636,,
1996M05,"May  1996",IN0001.08,"Minerals, ores and non-precious metals",57.05,,,1.7115,,,0.8663,,
1996M05,"May  1996",IN0001.09,"Precious metals",33.99,,,0.8007,,,-0.2933,,
1996M05,"May  1996",IN0001.10,"Fuels",40.65,,,6.805,,,-5.4211,,
1996M05,"May  1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M05,"May  1996",IN0001.05,"Tropical beverages and food",82.94,,,-1.3676,,,1.6671,,
1996M05,"May  1996",IN0001.22,"All groups excl. fuels",62.02,,,-0.3375,,,1.1086,,
1996M05,"May  1996",IN0001.23,"All groups excl. precious metals",50.79,,,3.442,,,-2.5518,,
1996M05,"May  1996",IN0001.24,"All groups excl. precious metals and fuels",74.64,,,-0.5728,,,1.3993,,
1996M06,"June 1996",IN0001.20,"All groups",48.14,,,3.683,,,-1.3525,,
1996M06,"June 1996",IN0001.01,"All food",81.08,,,0.5332,,,-1.6616,,
1996M06,"June 1996",IN0001.02,"Food",85.21,,,2.7369,,,0.9119,,
1996M06,"June 1996",IN0001.03,"Tropical beverages",74.84,,,-15.5972,,,-4.4921,,
1996M06,"June 1996",IN0001.04,"Vegetable oilseeds and oils",77.46,,,7.4043,,,-4.7467,,
1996M06,"June 1996",IN0001.06,"Agricultural raw materials",88.88,,,-10.2313,,,-2.5011,,
1996M06,"June 1996",IN0001.07,"Minerals, ores and metals",41.65,,,-6.4465,,,-5.7052,,
1996M06,"June 1996",IN0001.08,"Minerals, ores and non-precious metals",52.18,,,-10.1429,,,-8.5364,,
1996M06,"June 1996",IN0001.09,"Precious metals",33.34,,,-1.3901,,,-1.9123,,
1996M06,"June 1996",IN0001.10,"Fuels",40.88,,,11.633,,,0.5658,,
1996M06,"June 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M06,"June 1996",IN0001.05,"Tropical beverages and food",82.65,,,-2.0154,,,-0.3497,,
1996M06,"June 1996",IN0001.22,"All groups excl. fuels",59.92,,,-3.8819,,,-3.386,,
1996M06,"June 1996",IN0001.23,"All groups excl. precious metals",50.13,,,4.1554,,,-1.2995,,
1996M06,"June 1996",IN0001.24,"All groups excl. precious metals and fuels",71.89,,,-4.3889,,,-3.6844,,
1996M07,"Jul. 1996",IN0001.20,"All groups",48.72,,,8.8229,,,1.2048,,
1996M07,"Jul. 1996",IN0001.01,"All food",80.13,,,-1.0619,,,-1.1717,,
1996M07,"Jul. 1996",IN0001.02,"Food",85.35,,,2.0933,,,0.1643,,
1996M07,"Jul. 1996",IN0001.03,"Tropical beverages",69.96,,,-16.8232,,,-6.5206,,
1996M07,"Jul. 1996",IN0001.04,"Vegetable oilseeds and oils",76.84,,,2.8923,,,-0.8004,,
1996M07,"Jul. 1996",IN0001.06,"Agricultural raw materials",88.79,,,-1.9545,,,-0.1013,,
1996M07,"Jul. 1996",IN0001.07,"Minerals, ores and metals",40.72,,,-9.7118,,,-2.2329,,
1996M07,"Jul. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.3,,,-15.6889,,,-3.6029,,
1996M07,"Jul. 1996",IN0001.09,"Precious metals",33.16,,,-1.3095,,,-0.5399,,
1996M07,"Jul. 1996",IN0001.10,"Fuels",42.34,,,23.9461,,,3.5714,,
1996M07,"Jul. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M07,"Jul. 1996",IN0001.05,"Tropical beverages and food",81.56,,,-2.58,,,-1.3188,,
1996M07,"Jul. 1996",IN0001.22,"All groups excl. fuels",59.06,,,-4.6958,,,-1.4352,,
1996M07,"Jul. 1996",IN0001.23,"All groups excl. precious metals",50.81,,,9.812,,,1.3565,,
1996M07,"Jul. 1996",IN0001.24,"All groups excl. precious metals and fuels",70.73,,,-5.3653,,,-1.6136,,
1996M08,"Aug. 1996",IN0001.20,"All groups",48.53,,,7.2723,,,-0.39,,
1996M08,"Aug. 1996",IN0001.01,"All food",78.26,,,-1.7328,,,-2.3337,,
1996M08,"Aug. 1996",IN0001.02,"Food",80.26,,,-0.5206,,,-5.9637,,
1996M08,"Aug. 1996",IN0001.03,"Tropical beverages",71.21,,,-19.6185,,,1.7867,,
1996M08,"Aug. 1996",IN0001.04,"Vegetable oilseeds and oils",78.78,,,8.3184,,,2.5247,,
1996M08,"Aug. 1996",IN0001.06,"Agricultural raw materials",89.43,,,-3.5795,,,0.7208,,
1996M08,"Aug. 1996",IN0001.07,"Minerals, ores and metals",41.02,,,-9.3681,,,0.7367,,
1996M08,"Aug. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.51,,,-16.0545,,,0.4175,,
1996M08,"Aug. 1996",IN0001.09,"Precious metals",33.51,,,0.0896,,,1.0555,,
1996M08,"Aug. 1996",IN0001.10,"Fuels",42.3,,,20.7881,,,-0.0945,,
1996M08,"Aug. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M08,"Aug. 1996",IN0001.05,"Tropical beverages and food",78.03,,,-5.567,,,-4.3281,,
1996M08,"Aug. 1996",IN0001.22,"All groups excl. fuels",58.64,,,-5.1133,,,-0.7111,,
1996M08,"Aug. 1996",IN0001.23,"All groups excl. precious metals",50.55,,,7.9667,,,-0.5117,,
1996M08,"Aug. 1996",IN0001.24,"All groups excl. precious metals and fuels",69.95,,,-6.1704,,,-1.1028,,
1996M09,"Sep. 1996",IN0001.20,"All groups",49.46,,,9.546,,,1.9163,,
1996M09,"Sep. 1996",IN0001.01,"All food",76.61,,,-0.4289,,,-2.1084,,
1996M09,"Sep. 1996",IN0001.02,"Food",77.69,,,-0.6522,,,-3.2021,,
1996M09,"Sep. 1996",IN0001.03,"Tropical beverages",67.45,,,-15.317,,,-5.2802,,
1996M09,"Sep. 1996",IN0001.04,"Vegetable oilseeds and oils",79.94,,,9.1778,,,1.4725,,
1996M09,"Sep. 1996",IN0001.06,"Agricultural raw materials",91.2,,,1.8767,,,1.9792,,
1996M09,"Sep. 1996",IN0001.07,"Minerals, ores and metals",40.41,,,-8.7398,,,-1.4871,,
1996M09,"Sep. 1996",IN0001.08,"Minerals, ores and non-precious metals",49.64,,,-14.3843,,,-1.7224,,
1996M09,"Sep. 1996",IN0001.09,"Precious metals",33.12,,,-0.9865,,,-1.1638,,
1996M09,"Sep. 1996",IN0001.10,"Fuels",44.26,,,23.0128,,,4.6336,,
1996M09,"Sep. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M09,"Sep. 1996",IN0001.05,"Tropical beverages and food",75.17,,,-4.3152,,,-3.6653,,
1996M09,"Sep. 1996",IN0001.22,"All groups excl. fuels",57.9,,,-3.5161,,,-1.2619,,
1996M09,"Sep. 1996",IN0001.23,"All groups excl. precious metals",51.66,,,10.5736,,,2.1958,,
1996M09,"Sep. 1996",IN0001.24,"All groups excl. precious metals and fuels",69.06,,,-4.03,,,-1.2723,,
1996M10,"Oct. 1996",IN0001.20,"All groups",51.54,,,15.019,,,4.2054,,
1996M10,"Oct. 1996",IN0001.01,"All food",73.73,,,-5.6075,,,-3.7593,,
1996M10,"Oct. 1996",IN0001.02,"Food",75.01,,,-6.1906,,,-3.4496,,
1996M10,"Oct. 1996",IN0001.03,"Tropical beverages",69.03,,,-10.525,,,2.3425,,
1996M10,"Oct. 1996",IN0001.04,"Vegetable oilseeds and oils",74.16,,,-1.6967,,,-7.2304,,
1996M10,"Oct. 1996",IN0001.06,"Agricultural raw materials",90.23,,,-1.3125,,,-1.0636,,
1996M10,"Oct. 1996",IN0001.07,"Minerals, ores and metals",39.88,,,-8.3218,,,-1.3116,,
1996M10,"Oct. 1996",IN0001.08,"Minerals, ores and non-precious metals",48.74,,,-13.4895,,,-1.8131,,
1996M10,"Oct. 1996",IN0001.09,"Precious metals",32.88,,,-1.4388,,,-0.7246,,
1996M10,"Oct. 1996",IN0001.10,"Fuels",48.47,,,37.1146,,,9.512,,
1996M10,"Oct. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M10,"Oct. 1996",IN0001.05,"Tropical beverages and food",73.54,,,-7.2168,,,-2.1684,,
1996M10,"Oct. 1996",IN0001.22,"All groups excl. fuels",56.51,,,-6.0672,,,-2.4007,,
1996M10,"Oct. 1996",IN0001.23,"All groups excl. precious metals",54.04,,,16.5912,,,4.607,,
1996M10,"Oct. 1996",IN0001.24,"All groups excl. precious metals and fuels",67.15,,,-7.0331,,,-2.7657,,
1996M11,"Nov. 1996",IN0001.20,"All groups",51.9,,,11.95,,,0.6985,,
1996M11,"Nov. 1996",IN0001.01,"All food",73.43,,,-5.5806,,,-0.4069,,
1996M11,"Nov. 1996",IN0001.02,"Food",74.77,,,-5.066,,,-0.32,,
1996M11,"Nov. 1996",IN0001.03,"Tropical beverages",68.4,,,-10.3421,,,-0.9126,,
1996M11,"Nov. 1996",IN0001.04,"Vegetable oilseeds and oils",73.97,,,-3.8101,,,-0.2562,,
1996M11,"Nov. 1996",IN0001.06,"Agricultural raw materials",89.47,,,-8.1605,,,-0.8423,,
1996M11,"Nov. 1996",IN0001.07,"Minerals, ores and metals",40.58,,,-8.5212,,,1.7553,,
1996M11,"Nov. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.7,,,-12.7517,,,4.0213,,
1996M11,"Nov. 1996",IN0001.09,"Precious metals",32.58,,,-2.7463,,,-0.9124,,
1996M11,"Nov. 1996",IN0001.10,"Fuels",48.93,,,31.2852,,,0.949,,
1996M11,"Nov. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M11,"Nov. 1996",IN0001.05,"Tropical beverages and food",73.2,,,-6.334,,,-0.4623,,
1996M11,"Nov. 1996",IN0001.22,"All groups excl. fuels",56.72,,,-7.1686,,,0.3716,,
1996M11,"Nov. 1996",IN0001.23,"All groups excl. precious metals",54.5,,,13.3292,,,0.8512,,
1996M11,"Nov. 1996",IN0001.24,"All groups excl. precious metals and fuels",67.59,,,-8.0783,,,0.6552,,
1996M12,"Dec. 1996",IN0001.20,"All groups",54.36,,,11.8979,,,4.7399,,
1996M12,"Dec. 1996",IN0001.01,"All food",73.7,,,-4.1114,,,0.3677,,
1996M12,"Dec. 1996",IN0001.02,"Food",75.36,,,-5.1121,,,0.7891,,
1996M12,"Dec. 1996",IN0001.03,"Tropical beverages",66.68,,,-1.2002,,,-2.5146,,
1996M12,"Dec. 1996",IN0001.04,"Vegetable oilseeds and oils",74.79,,,-3.7823,,,1.1086,,
1996M12,"Dec. 1996",IN0001.06,"Agricultural raw materials",89.29,,,-7.8535,,,-0.2012,,
1996M12,"Dec. 1996",IN0001.07,"Minerals, ores and metals",40.29,,,-9.0314,,,-0.7146,,
1996M12,"Dec. 1996",IN0001.08,"Minerals, ores and non-precious metals",50.98,,,-11.8451,,,0.5523,,
1996M12,"Dec. 1996",IN0001.09,"Precious metals",31.85,,,-5.1519,,,-2.2406,,
1996M12,"Dec. 1996",IN0001.10,"Fuels",52.96,,,28.8564,,,8.2363,,
1996M12,"Dec. 1996",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1996M12,"Dec. 1996",IN0001.05,"Tropical beverages and food",73.23,,,-4.2495,,,0.041,,
1996M12,"Dec. 1996",IN0001.22,"All groups excl. fuels",56.64,,,-6.6733,,,-0.141,,
1996M12,"Dec. 1996",IN0001.23,"All groups excl. precious metals",57.39,,,13.4414,,,5.3028,,
1996M12,"Dec. 1996",IN0001.24,"All groups excl. precious metals and fuels",67.8,,,-6.9959,,,0.3107,,
1997M01,"Jan. 1997",IN0001.20,"All groups",53.34,,,8.9906,,,-1.8764,,
1997M01,"Jan. 1997",IN0001.01,"All food",76.84,,,-1.9147,,,4.2605,,
1997M01,"Jan. 1997",IN0001.02,"Food",77.32,,,-4.8369,,,2.6008,,
1997M01,"Jan. 1997",IN0001.03,"Tropical beverages",74.71,,,4.4019,,,12.0426,,
1997M01,"Jan. 1997",IN0001.04,"Vegetable oilseeds and oils",77.22,,,0.0907,,,3.2491,,
1997M01,"Jan. 1997",IN0001.06,"Agricultural raw materials",88.23,,,-5.2106,,,-1.1871,,
1997M01,"Jan. 1997",IN0001.07,"Minerals, ores and metals",40.64,,,-7.804,,,0.8687,,
1997M01,"Jan. 1997",IN0001.08,"Minerals, ores and non-precious metals",53.18,,,-5.0188,,,4.3154,,
1997M01,"Jan. 1997",IN0001.09,"Precious metals",30.73,,,-11.3899,,,-3.5165,,
1997M01,"Jan. 1997",IN0001.10,"Fuels",50.58,,,21.4114,,,-4.494,,
1997M01,"Jan. 1997",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1997M01,"Jan. 1997",IN0001.05,"Tropical beverages and food",76.68,,,-2.7644,,,4.7112,,
1997M01,"Jan. 1997",IN0001.22,"All groups excl. fuels",57.82,,,-4.7917,,,2.0833,,
1997M01,"Jan. 1997",IN0001.23,"All groups excl. precious metals",56.38,,,10.8751,,,-1.7599,,
1997M01,"Jan. 1997",IN0001.24,"All groups excl. precious metals and fuels",70.02,,,-3.3674,,,3.2743,,
1997M02,"Feb. 1997",IN0001.20,"All groups",49.08,,,-5.7604,,,-7.9865,,
1997M02,"Feb. 1997",IN0001.01,"All food",79.85,,,-0.0876,,,3.9172,,
1997M02,"Feb. 1997",IN0001.02,"Food",77.7,,,-6.3178,,,0.4915,,
1997M02,"Feb. 1997",IN0001.03,"Tropical beverages",88.68,,,13.6777,,,18.699,,
1997M02,"Feb. 1997",IN0001.04,"Vegetable oilseeds and oils",78.57,,,3.7365,,,1.7483,,
1997M02,"Feb. 1997",IN0001.06,"Agricultural raw materials",87.94,,,-7.8969,,,-0.3287,,
1997M02,"Feb. 1997",IN0001.07,"Minerals, ores and metals",40.68,,,-8.0678,,,0.0984,,
1997M02,"Feb. 1997",IN0001.08,"Minerals, ores and non-precious metals",53.87,,,-3.3722,,,1.2975,,
1997M02,"Feb. 1997",IN0001.09,"Precious metals",30.27,,,-13.9323,,,-1.4969,,
1997M02,"Feb. 1997",IN0001.10,"Fuels",43.05,,,-6.8383,,,-14.8873,,
1997M02,"Feb. 1997",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1997M02,"Feb. 1997",IN0001.05,"Tropical beverages and food",80.41,,,-1.6151,,,4.8644,,
1997M02,"Feb. 1997",IN0001.22,"All groups excl. fuels",58.86,,,-4.4481,,,1.7987,,
1997M02,"Feb. 1997",IN0001.23,"All groups excl. precious metals",51.61,,,-5.0414,,,-8.4604,,
1997M02,"Feb. 1997",IN0001.24,"All groups excl. precious metals and fuels",71.74,,,-2.3946,,,2.4564,,
1997M03,"Mar. 1997",IN0001.20,"All groups",48.12,,,-4.1052,,,-1.956,,
1997M03,"Mar. 1997",IN0001.01,"All food",83.32,,,4.542,,,4.3456,,
1997M03,"Mar. 1997",IN0001.02,"Food",78.77,,,-5.9799,,,1.3771,,
1997M03,"Mar. 1997",IN0001.03,"Tropical beverages",99.57,,,31.4629,,,12.2801,,
1997M03,"Mar. 1997",IN0001.04,"Vegetable oilseeds and oils",81.98,,,9.4965,,,4.3401,,
1997M03,"Mar. 1997",IN0001.06,"Agricultural raw materials",88.15,,,-3.3973,,,0.2388,,
1997M03,"Mar. 1997",IN0001.07,"Minerals, ores and metals",41.42,,,-6.0132,,,1.8191,,
1997M03,"Mar. 1997",IN0001.08,"Minerals, ores and non-precious metals",54.88,,,-2.4876,,,1.8749,,
1997M03,"Mar. 1997",IN0001.09,"Precious metals",30.78,,,-10.6012,,,1.6848,,
1997M03,"Mar. 1997",IN0001.10,"Fuels",40.49,,,-6.9195,,,-5.9466,,
1997M03,"Mar. 1997",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1997M03,"Mar. 1997",IN0001.05,"Tropical beverages and food",83.9,,,2.5672,,,4.3403,,
1997M03,"Mar. 1997",IN0001.22,"All groups excl. fuels",60.5,,,-0.8522,,,2.7863,,
1997M03,"Mar. 1997",IN0001.23,"All groups excl. precious metals",50.45,,,-3.5373,,,-2.2476,,
1997M03,"Mar. 1997",IN0001.24,"All groups excl. precious metals and fuels",73.88,,,1.2193,,,2.983,,
1997M04,"Apr. 1997",IN0001.20,"All groups",46.67,,,-6.6226,,,-3.0133,,
1997M04,"Apr. 1997",IN0001.01,"All food",83.6,,,2.943,,,0.3361,,
1997M04,"Apr. 1997",IN0001.02,"Food",78.14,,,-6.2957,,,-0.7998,,
1997M04,"Apr. 1997",IN0001.03,"Tropical beverages",101.46,,,33.4473,,,1.8982,,
1997M04,"Apr. 1997",IN0001.04,"Vegetable oilseeds and oils",82.95,,,3.2102,,,1.1832,,
1997M04,"Apr. 1997",IN0001.06,"Agricultural raw materials",85.9,,,-4.0974,,,-2.5525,,
1997M04,"Apr. 1997",IN0001.07,"Minerals, ores and metals",40.32,,,-8.3845,,,-2.6557,,
1997M04,"Apr. 1997",IN0001.08,"Minerals, ores and non-precious metals",53.41,,,-5.5693,,,-2.6786,,
1997M04,"Apr. 1997",IN0001.09,"Precious metals",29.97,,,-12.0857,,,-2.6316,,
1997M04,"Apr. 1997",IN0001.10,"Fuels",38.59,,,-10.2141,,,-4.6925,,
1997M04,"Apr. 1997",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1997M04,"Apr. 1997",IN0001.05,"Tropical beverages and food",83.89,,,2.8316,,,-0.0119,,
1997M04,"Apr. 1997",IN0001.22,"All groups excl. fuels",59.77,,,-2.5595,,,-1.2066,,
1997M04,"Apr. 1997",IN0001.23,"All groups excl. precious metals",48.91,,,-6.1589,,,-3.0525,,
1997M04,"Apr. 1997",IN0001.24,"All groups excl. precious metals and fuels",73.18,,,-0.5842,,,-0.9475,,
1997M05,"May  1997",IN0001.20,"All groups",48.95,,,0.3074,,,4.8854,,
1997M05,"May  1997",IN0001.01,"All food",85.04,,,3.1413,,,1.7225,,
1997M05,"May  1997",IN0001.02,"Food",77.35,,,-8.3965,,,-1.011,,
1997M05,"May  1997",IN0001.03,"Tropical beverages",124.3,,,58.6269,,,22.5113,,
1997M05,"May  1997",IN0001.04,"Vegetable oilseeds and oils",76.1,,,-6.4191,,,-8.258,,
1997M05,"May  1997",IN0001.06,"Agricultural raw materials",86.47,,,-5.1448,,,0.6636,,
1997M05,"May  1997",IN0001.07,"Minerals, ores and metals",40.98,,,-7.2221,,,1.6369,,
1997M05,"May  1997",IN0001.08,"Minerals, ores and non-precious metals",54.87,,,-3.8212,,,2.7336,,
1997M05,"May  1997",IN0001.09,"Precious metals",30,,,-11.7387,,,0.1001,,
1997M05,"May  1997",IN0001.10,"Fuels",41.71,,,2.6076,,,8.085,,
1997M05,"May  1997",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1997M05,"May  1997",IN0001.05,"Tropical beverages and food",88.92,,,7.21,,,5.9959,,
1997M05,"May  1997",IN0001.22,"All groups excl. fuels",60.69,,,-2.1445,,,1.5392,,
1997M05,"May  1997",IN0001.23,"All groups excl. precious metals",51.5,,,1.3979,,,5.2954,,
1997M05,"May  1997",IN0001.24,"All groups excl. precious metals and fuels",74.51,,,-0.1742,,,1.8174,,
1997M06,"June 1997",IN0001.20,"All groups",46.99,,,-2.3889,,,-4.0041,,
1997M06,"June 1997",IN0001.01,"All food",80.77,,,-0.3823,,,-5.0212,,
1997M06,"June 1997",IN0001.02,"Food",77.07,,,-9.5529,,,-0.362,,
1997M06,"June 1997",IN0001.03,"Tropical beverages",106.91,,,42.8514,,,-13.9903,,
1997M06,"June 1997",IN0001.04,"Vegetable oilseeds and oils",72.35,,,-6.597,,,-4.9277,,
1997M06,"June 1997",IN0001.06,"Agricultural raw materials",86.63,,,-2.5315,,,0.185,,
1997M06,"June 1997",IN0001.07,"Minerals, ores and metals",40.92,,,-1.7527,,,-0.1464,,
1997M06,"June 1997",IN0001.08,"Minerals, ores and non-precious metals",54.84,,,5.0977,,,-0.0547,,
1997M06,"June 1997",IN0001.09,"Precious metals",29.93,,,-10.228,,,-0.2333,,
1997M06,"June 1997",IN0001.10,"Fuels",39.47,,,-3.4491,,,-5.3704,,
1997M06,"June 1997",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1997M06,"June 1997",IN0001.05,"Tropical beverages and food",84.42,,,2.1416,,,-5.0607,,
1997M06,"June 1997",IN0001.22,"All groups excl. fuels",59.19,,,-1.2183,,,-2.4716,,
1997M06,"June 1997",IN0001.23,"All groups excl. precious metals",49.29,,,-1.6756,,,-4.2913,,
1997M06,"June 1997",IN0001.24,"All groups excl. precious metals and fuels",72.37,,,0.6677,,,-2.8721,,
1997M07,"Jul. 1997",IN0001.20,"All groups",46.73,,,-4.0846,,,-0.5533,,
1997M07,"Jul. 1997",IN0001.01,"All food",79.48,,,-0.8112,,,-1.5971,,
1997M07,"Jul. 1997",IN0001.02,"Food",76.44,,,-10.4394,,,-0.8174,,
1997M07,"Jul. 1997",IN0001.03,"Tropical beverages",95.8,,,36.9354,,,-10.3919,,
1997M07,"Jul. 1997",IN0001.04,"Vegetable oilseeds and oils",75.47,,,-1.7829,,,4.3124,,
1997M07,"Jul. 1997",IN0001.06,"Agricultural raw materials",84.62,,,-4.6965,,,-2.3202,,
1997M07,"Jul. 1997",IN0001.07,"Minerals, ores and metals",39.75,,,-2.3821,,,-2.8592,,
1997M07,"Jul. 1997",IN0001.08,"Minerals, ores and non-precious metals",54.1,,,7.5547,,,-1.3494,,
1997M07,"Jul. 1997",IN0001.09,"Precious metals",28.41,,,-14.3245,,,-5.0785,,
1997M07,"Jul. 1997",IN0001.10,"Fuels",39.84,,,-5.9046,,,0.9374,,
1997M07,"Jul. 1997",IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected",,,"No value reported or collected"
1997M07,"Jul. 1997",IN0001.05,"Tropical beverages and food",81.22,,,-0.4169,,,-3.7906,,
1997M07,"Jul. 1997",IN0001.22,"All groups excl. fuels",57.89,,,-1.981,,,-2.1963,,
1997M07,"Jul. 1997",IN0001.23,"All groups excl. precious metals",49.19,,,-3.1883,,,-0.2029,,
1997M07,"Jul. 1997",IN0001.24,"All groups excl. precious metals and fuels",71.17,,,0.6221,,,-1.6581,,
